policy,rewards,run,,
"{'4': [0.0, 0.8], '2': [0.1, 0.7], '3': [0.7, 0.8], '5': [0.7, 0.8], '1': [0.7, 0.8]}",236.807839,0,,182.5842741
"{'4': [0.0, 0.4], '2': [0.1, 0.4], '3': [0.6, 0.3], '5': [0.6, 0.3], '1': [0.7, 0.1]}",186.7829406,1,,
"{'4': [0.1, 0.6], '2': [0.6, 0.2], '3': [0.1, 0.6], '5': [0.1, 0.6], '1': [0.1, 0.6]}",94.19101079,2,,
"{'4': [0.0, 0.8], '2': [0.0, 0.8], '3': [0.0, 0.8], '5': [0.0, 0.8], '1': [0.8, 0.1]}",271.6276426,3,,
"{'4': [0.1, 0.8], '2': [0.4, 1.0], '3': [0.2, 0.0], '5': [0.2, 0.0], '1': [0.9, 0.3]}",157.3927089,4,,
"{'4': [0.3, 0.5], '2': [0.6, 1.0], '3': [0.4, 1.0], '5': [0.4, 1.0], '1': [0.3, 0.5]}",100.4991068,5,,
"{'4': [0.1, 0.0], '2': [0.1, 0.9], '3': [0.7, 0.5], '5': [0.1, 0.0], '1': [0.7, 0.1]}",192.6615436,6,,
"{'4': [1.0, 0.4], '2': [1.0, 0.4], '3': [1.0, 0.4], '5': [1.0, 0.4], '1': [0.1, 0.9]}",183.9089217,7,,
"{'4': [0.2, 0.8], '2': [0.6, 1.0], '3': [0.6, 0.1], '5': [0.9, 0.2], '1': [0.7, 0.2]}",181.2596265,8,,
"{'4': [0.4, 0.9], '2': [0.4, 0.9], '3': [0.8, 0.0], '5': [0.4, 0.9], '1': [0.8, 0.0]}",179.0522082,9,,
