policy,rewards,run,,156.9237333
"{'5': [1.0, 1.0], '2': [0.0, 0.7443826198577881], '1': [1.0, 0.0], '4': [0.0, 1.0], '3': [1.0, 0.0]}",440.5644893,0,,
"{'5': [0.0, 1.0], '2': [0.23454618453979492, 0.14417946338653564], '1': [1.0, 0.0], '4': [0.0, 0.0], '3': [0.0, 0.5307062864303589]}",274.9028922,1,,
"{'5': [0.0, 1.0], '2': [0.0, 0.13873693346977234], '1': [0.0, 1.0], '4': [0.0, 0.39439624547958374], '3': [0.0, 0.8741399049758911]}",240.3806874,2,,
"{'5': [0.0, 1.0], '2': [0.0, 0.22812873125076294], '1': [0.0, 0.9110538959503174], '4': [0.09993124008178711, 0.0], '3': [0.0, 0.3730012774467468]}",195.3153583,3,,
"{'5': [0.0, 0.0], '2': [0.0, 0.0], '1': [0.0, 0.0], '4': [0.48398077487945557, 0.0], '3': [0.0, 0.0]}",23.56652527,4,,
"{'5': [0.9781384468078613, 0.0], '2': [0.9803202152252197, 0.0], '1': [0.0, 0.12789291143417358], '4': [1.0, 0.0], '3': [0.0, 0.0]}",231.6956125,5,,
"{'5': [0.0, 0.0], '2': [0.0, 0.2555570602416992], '1': [0.16471946239471436, 0.5795604586601257], '4': [0.0, 0.0], '3': [0.7990673780441284, 0.0]}",102.9736767,6,,
"{'5': [0.0, 0.0], '2': [0.31211382150650024, 0.0], '1': [0.15689599514007568, 0.0], '4': [0.5045037269592285, 0.6658843755722046], '3': [0.2936970293521881, 0.5578432679176331]}",3.732114063,7,,
"{'5': [0.697785496711731, 1.0], '2': [0.5797401666641235, 0.17717570066452026], '1': [1.0, 0.8401629328727722], '4': [0.21023309230804443, 1.0], '3': [0.8410444259643555, 1.0]}",-69.74513608,8,,
"{'5': [0.0, 0.756655216217041], '2': [0.0, 0.5030889511108398], '1': [0.0, 0.252856582403183], '4': [0.0, 0.01802724599838257], '3': [0.0, 0.0]}",118.5321083,9,,
